"Donnalou was the office cut-up and general practical jokester. She decided to pull a prank on Paul, a rather dour and staid co-worker. Knowing where Paul, a creature of habit, always kept his lunch box, she put a small quantity of mescaline, a synthetic hallucinogen, in Paul's thermos bottle of cranberry juice. She expected that strait-laced Paul would have a minor vision or two and act in a goofy and comical manner. However, when Paul drank his mescaline-laced juice at lunchtime he had a severe reaction to the mescaline and experienced wild hallucinations. Donnalou promptly drove Paul to the emergency room of nearby Hacksaw Hospital. Paul was put under observation for a couple of hours. The emergency room physician, Pillpush, was very busy and negligently released Paul prematurely. The next day, while driving, Paul had another powerful hallucination and drove his car into a bridge abutment. Paul suffered contusions, abrasions, a concussion, and several broken bones. After Paul recovered he sued Donnalou for his injuries. Who will prevail?","Donnalou, because the auto accident would not have occurred but for the negligence of Dr. Pillpush.","Donnalou, because Donnalou did not intend to harm Paul.","Paul, unless the automobile accident could not have reasonably been foreseen.","Paul, because Donnalou intended that Paul should ingest the mescaline. ",D
"When Burt purchased Sweetacre, he financed the purchase through a mortgage on the property held by First Bank. The mortgage contained a ""due-on-sale clause,"" requiring the mortgagor to pay off the mortgage at the time the property is sold. Burt made all of his mortgage payments in a timely manner. Five years after Burt purchased Sweetacre, he sold the property to Tully. Burt told Tully that there was a mortgage on the property but he did not mention the due-on-sale clause. Tully paid Burt the asking price for Sweetacre. Burt pocketed the proceeds without paying off the First Bank mortgage. Which of the following best states the effect of the due-on-sale clause on Tully's interest in Sweetacre?",First Bank can foreclose on Sweetacre.,Tully must agree to assume the First Bank Mortgage on Sweetacre.,The only effect of the clause is that Tully is personally liable on the mortgage.,"The clause has no effect, because due-on- sale clauses are generally void as contrary to public policy. ",A
"During Dan's prosecution for burglary, the prosecution calls Teddy to the stand, and the following takes place: Prosecutor: ""After Dan left the room, what did Roger say to you, if anything?"" Previous evidence has established that Roger and Dan had agreed, prior to the time Dan left the room, to burglarize a jewelry store. Defense counsel: ""Objection!"" Court: ""Overruled.""' Teddy then testifies about what Roger said. If defense counsel wishes to complain about the court's ruling in this matter on appeal, what more should she do before the trial concludes? ",Nothing.,Ask the court for the reasons that the objection was overruled.,"Restate the objection for the record, stating the grounds therefor.",Request the trial court to order the prosecution to make an offer of proof.,C
"Ten years ago Gasmask Chemicals, a leading chemical manufacturer, decided that it needed a safe place to store byproduct waste from its manufacturing processes. Many of these byproducts were highly toxic; thus, Gasmask took great care in selecting a dump site. A highly reputable engineering company was hired and an exhaustive survey was performed. Finally the Temblor Canyon site was selected and the chemicals were stored there underground, using state-of-the-art techniques. Although the survey and attendant geological soundings were performed with consummate skill, the surveyors failed to discover a crack in the rock of the storage area that was too small for their instruments to detect. Over a period of years the chemicals began to seep through the crack and into the water table below the surface. Scientists in nearby Canyon City discovered that the city's water supply, all of which came from local wells that tapped into the water table, contained unacceptably high levels of chemical contaminants. Canyon City was required to spend $ 5$ million on a complex filtration system to remove the dangerous chemicals from its water. Canyon City brought an action against Gasmask to recover the cost of building the filtration system. At the end of plaintiff's case establishing the above facts, Gasmask moved for a directed verdict. Should the court grant Gasmask's motion?","Yes, because Canyon City has not presented any evidence that Gasmask breached a duty owed to the city.","Yes, if the evidence also established that Canyon City's water wells were drilled after Gasmask stored the chemicals.","No, if the court determines as a matter of law that the chemicals could not be stored without risk of serious harm no matter how much care Gasmask took.","No, because the trier of fact could determine that the chemicals could not be stored without risk of serious harm no matter how much care Gasmask took. ",C
"Paul sued Dave for making a slanderous statement that greatly embarrassed Paul. Dave denied that he ever made such a statement. At trial, Paul called Willie to the stand, and Willie testified that he heard Dave make the statement on August 4. Dave discredited Willie, and Park offers evidence of Willie's good reputation for truthfulness. The rehabilitation is most likely to be permitted if the discrediting evidence by Dave was testimony that:",Willie and Paul had known each other since childhood. ,Willie had been convicted of perjury in an unrelated case.,Willie had attended a school for mentally retarded children.,Willie disliked Dave.,B
"Technix, Inc. produces the most up-to-date, high-speed mainframe computers on the market, and Cruncher Corporation is on the cutting edge of data storage technology. Technix and Cruncher contracted to purchase/sell a ""Yellow Giant"" computer. The written contract stated that Cruncher would purchase ""one Technix 'Yellow Giant' computer at a price of $ 175,000$."" At the time, the going price for Yellow Giant computers was $ 150,000$. When Technix delivered a Yellow Giant on the specified date, Cruncher refused to accept delivery and refused to pay. Technix sued Cruncher for breach, claiming that its expensive computers were manufactured to order and so it was forced to dispose of the Yellow Giant at a price far below fair market value. In defending the suit, Cruncher's president wishes to testify that Cruncher rejected the Yellow Giant because both parties knew that Cruncher really wanted a ""Purple Giant,"" a machine much faster than the Yellow Giant, but which the parties agreed would be called in the contract a ""Yellow Giant"" to keep competitors in the dark as to Cruncher's new capabilities, and that the parties had executed contracts in the past that had specified a less powerful computer than the model that was actually delivered. Should the testimony of Cruncher's president be admitted?","Yes, because Cruncher is entitled to reformation of the contract.","Yes, because the president's testimony would explain the meaning of a disputed contract term.","No, because the parol evidence rule applies and the president's testimony contradicts a term in the written contract.","No, because the Statute of Frauds applies, since the contract is for a large amount of money.",B
"Dock had been the unsuccessful suitor of Mary, who had recently announced her engagement to Paul. Angered by her engagement, Dock sent Mary the following letter: ""I hope you know what you are doing. The man you think you love wears women's clothes when at home. A Friend."" The receipt of this letter caused Mary great emotional distress. She hysterically telephoned Paul, read him the letter, and told him that she was breaking their engagement. The contents of the letter were not revealed to others. Paul, who was a young attorney in the state attorney's office, suffered serious humiliation and emotional distress as a result of the broken engagement. If Paul asserts a claim against Dock based on defamation and it is proved that Dock's statement was true, such proof will be:",A defense by itself.,A defense only if Dock was not actuated by malice.,A defense only if Dock reasonably believed it to be true.,No defense by itself.,A
A federal criminal law makes it a crime for any citizen of the United States not specifically authorized by the President to negotiate with a foreign government for the purpose of influencing the foreign government in relation to a dispute with the United States. The strongest constitutional ground for the validity of this law is that:,"Under several of its enumerated powers, Congress may legislate to preserve the monopoly of the national government over the conduct of United States foreign affairs.","The President's inherent power to negotiate for the United States with foreign countries authorizes the President, even in the absence of statutory authorization, to punish citizens who engage in such negotiations without permission.",The law deals with foreign relations and therefore is not governed by the First Amendment.,Federal criminal laws dealing with international affairs need not be as specific as those dealing with domestic affairs.,A
"A federal statute provided for federal grants to cities that desired to reclaim and rebuild inner-city areas for multi-family residential housing. The city of Owenoak applied for funding to build housing and received a grant of $ 2.5$ million. After the area was prepared for construction, however, the city council decided it would greatly benefit the inner-city dwellers if, in addition to housing, commercial property was built. Thus, the Council decided to use $ 1.5$ million for housing and to ""borrow"" the remaining $ 1$ million from the housing fund to build a commercial mall. The city resolution provided that $30 \%$ of the rental from the mall each year would go to a fund for maintenance of the housing and for funds to build additional housing. Construction had started on two high-rise residential buildings and the commercial mall when the federal court, at the request of the federal government, froze the construction accounts containing the proceeds from the grant. In a motion by the city to release the funds, the court would most likely:","Grant the motion, because the city's plan for a fund to build more residential housing substantially complies with the terms of the grant.","Grant the motion, because the doctrine of preservation of state sovereignty prevents the federal government from interfering with the state's discretion in this situation.","Deny the motion, because the federal government can control the expenditure of the funds since it provided the funds.","Deny the motion, since the doctrine of state sovereignty has no application in this situation since the action was by the city council and not the state legislature.",C
"Neither the legislature nor the courts of State Yellow have abolished the common law tort defenses of contributory negligence and assumption of the risk. However, the State Yellow legislature decided it was time to take steps against all forms of drug abuse and passed the Omnibus Anti-Drug Act (""OADA""). One of the OADA provisions forbade the selling of airplane glue to anyone under the age of 18 except in small quantities in prepackaged model kits. Violation of the statute was penalized by fines or, in cases of multiple violations, possible imprisonment. OADA also required that all elementary and secondary schools licensed by the state provide comprehensive drug education programs. Primrose was a 14-year-old resident of State Yellow. Primrose had experienced the drug education program in his school, as mandated by OADA. One of the units in the program covered the dangers of glue sniffing. Primrose understood the anti-drug instruction, but he enjoyed the ""high"" he got from sniffing glue when he constructed model airplanes, and he wanted to experience more of it. He went to Daffodil's Hobby \& Craft Shop to purchase a large tube of airplane glue. Daffodil, sole proprietor of the hobby shop, sold the large tube of glue to Primrose. Primrose went home, hid in the garage, and sniffed the glue. His parents found Primrose in a coma on the garage floor. Although Primrose will survive, physicians have told his parents that he suffered permanent brain damage from sniffing the glue. On Primrose's behalf, the parents filed suit against Daffodil, which should result in a verdict: ","For Daffodil, because Primrose was aware of the danger when he sniffed the glue.","For Daffodil, because Primrose is not a member of the class of persons meant to be protected by OADA.","For Primrose, because Daffodil violated OADA when he sold the glue to Primrose.","For Primrose, unless Primrose could reasonably have been mistaken for an 18 year-old by Daffodil.",C
"St. Minny, a town with a population of 30,000 , was located on the west bank of a small river. Immediately across the river, on the east bank, was Paulopolis, a city of 60,000 . Over the years, many civic improvement groups urged that the two municipalities be merged into ""Minnypaulos,"" a single city of 90,000 souls. The arguments in favor of merger stressed savings to taxpayers accruing from the elimination of duplicate services. Proposals to merge the two places had appeared as referenda on the ballot on two separate occasions. Although the voters of Paulopolis approved each proposal by heavy margins, the voters of St. Minny, fearing that control of the government would be in the hands of more populous Paulopolis, rejected the referendum proposals by more than two to one. To avoid the failure of yet another such referendum, a new proposal was made for the governance of the proposed combined city. For a period of 20 years, beginning at the date of the merger, the city council of the merged city would consist of six persons. The former Paulopolis would be divided into three council districts, as would the former city of St. Minny. Thus, each St. Minny council representative would be elected from a district with a population of 10,000, while the Paulopolis districts would contain 20,000 persons each. A mayor would be elected at large. The proposal was placed on the ballot and was carried by large majorities in both St. Minny and Paulopolis. Representatives from Paulopolis and St. Minny carved each former city into three council electoral districts. Three Paulopolis taxpayers filed suit to enjoin the holding of an election with council districts of such disparate proportions. Which of the following represents the plaintiffs' best constitutional argument?",The government of the merged cities is not a republican form of government.,The plaintiffs and other Paulopolitans have been denied equal protection of the law.,The plaintiffs and other Paulopolitans have been denied the privileges and immunities of citizenship as guaranteed by Article IV. of the federal Constitution.,The plaintiffs and other Paulopolitans have been denied due process of law.,B
