"Howard and Wendy were engaged and looking for a lovely lot on which to build their dream house. They fell in love with Blueacre at first sight and purchased it, taking title as joint tenants with right of survivorship. Before construction of the dream house could begin, Howard discovered that Wendy was having an affair with Claude, and the engagement was called off. Wanting to obtain the money to run off with Claude, Wendy wanted to sell Blueacre. Howard refused to sell. Wendy put Blueacre up for sale anyway, and when Tim agreed to purchase it, Wendy forged Howard's signature on the deed conveying Blueacre to Tim. Who owns Blueacre?",Howard only.,Tim only.,Howard and Tim as tenants in common.,"Howard, Wendy, and Tim as tenants in common.",C
"Talbot and Rogers, as lessees, signed a valid lease for a house. Lane, the landlord, duly executed the lease and delivered possession of the premises to the lessees. During the term of the lease, Rogers verbally invited Andrews to share the house with the lessees. Andrews agreed to pay part of the rent to Lane, who did not object to this arrangement, despite a provision in the lease that provided that ""any assignment, subletting or transfer of any rights under this lease without the express written consent of the landlord is strictly prohibited, null and void."" Talbot objected to Andrews's moving in, even if Andrews were to pay a part of the rent. When Andrews moved in, Talbot brought an appropriate action against Lane, Rogers, and Andrews for a declaratory judgment that Rogers had no right to assign. Rogers's defense was that he and Talbot were tenants in common of a term for years, and that he, Rogers, had a right to assign a fractional interest in his undivided onehalf interest. In this action, Talbot will:","Prevail, because a co-tenant has no right to assign all or any part of a leasehold without the consent of all interested parties.","Prevail, because the lease provision prohibits assignment.","Not prevail, because he is not the beneficiary of the nonassignment provision in the lease.","Not prevail, because his claim amounts to a void restraint on alienation.",C
"Kuegler, who had a long list of petty crimes to his credit, cased the Jaymart Department Store for a week. He noticed that a display case containing very expensive watches was near one of the store's exit doors. He planned to steal the watches by setting a diversionary fire in a trash basket, hoping that this would distract the store security personnel long enough for Kuegler to break the glass covering the watch case, grab the watches, and run out the nearby exit. Kuegler knew that the store had an automatic sprinkler system that would promptly douse the fire, but his purpose was merely to create a distraction rather than to cause any damage to the building. One afternoon at 2:30 p.m., Kuegler entered the Jaymart. He advanced to a trash barrel and poured some lighter fluid onto the trash. He threw the lighter fluid can into the barrel and tossed in a match after it. The lighter fluid immediately caused a long flame to rise. The flame quickly charred the wall next to the barrel and blistered the paint on the surrounding area. No serious damage was done to the structure, because the sprinklers operated as designed and quickly put out the fire before it could spread. Kuegler made a dash toward the case containing the watches, but just as he was breaking the glass case, one of the store's security guards apprehended Kuegler and called the police. Kuegler was read his Miranda rights and taken into police custody. A statute in the jurisdiction extends the crime of arson to buildings other than dwellings. If Kuegler is tried for the crime of arson, the court should find him:","Not guilty, because Kuegler did not intend to burn the building.","Not guilty, because Kuegler's act was sufficient only for attempted arson.","Guilty, because Kuegler's conduct demonstrated the requisite state of mind for the crime.","Guilty, because Kuegler started the fire during the act of perpetrating another felony.",B
"Supermedia, a television station, was conducting a ""person on the street"" interview segment live for its evening ""magazine"" show and asking citizens of the community what they thought were the biggest problems facing the city. When the interviewer stopped Don and asked him the question, he replied, ""Corruption in city government, particularly the mayor."" William, mayor of the city, has now brought an action for defamation against Don. At trial, William has produced testimony as to his honesty and good character. Which of the following evidence could Don properly adduce at trial as part of his defense? I. The fact that William was convicted two years ago of taking a bribe to award a city contract for solid waste disposal. II. The testimony of Harold, a local newspaper editor, that William is known throughout the state as a corrupt politician. III. The testimony of Allen, a former campaign manager of William's, that William was corrupt.",I. only.,I. and II. only.,I. and III. only.,"I., II., and III. ",D
"Christine and her friend Zelda were going away to college and had quite a few personal belongings to transport. Christine's father offered to drive them in his van, but when the van was loaded they discovered there was only room for two people, so Christine asked her boyfriend Harry to drive her in his car while Christine's father and Zelda rode in the van. About halfway to the college, while the van and Harry's car were driving down the freeway, the van in front, the van suddenly swerved out of control and ran off the highway, ending up on its side in the center divider. When Harry stopped his car and Christine ran to the van, she discovered to her horror that her father was dead. Zelda appeared to be injured, but not severely. Because her father previously had heart trouble, Christine assumed that he had had a heart attack while driving, although a later investigation would reveal that the accident was caused solely by a defect in the steering mechanism of the van. Filled with remorse, Christine told Zelda, ""I'm so sorry about this. I'll make good any losses you suffer because of this accident."" Later, when Christine learned that Zelda was going to seek treatment from Dr. Winston, she wrote the doctor a letter stating that she would be responsible for all of Zelda's medical expenses; Dr. Winston received the letter the next day. Assume for purposes of this question only that, after treating Zelda for her injuries until she recovered, Dr. Winston sent Christine a bill for services rendered. When Christine refused to pay, Dr. Winston brought an action to recover the amount of her bill. Who will prevail?","Dr. Winston, because she gave medical treatment to Zelda after receiving Christine's letter. ","Dr. Winston, because Christine's promise to pay Zelda's medical expenses was in writing.","Christine, because there was no consideration for her promise to Dr. Winston.","Christine, because she derived no benefit from the medical services rendered to Zelda.",A
"In 1975, Hubert Green executed his will which in pertinent part provided, ""I hereby give, devise, and bequeath Greenvale to my surviving widow for life, remainder to such of my children as shall live to attain the age of 30 years, but if any child dies under the age of 30 years survived by a child or children, such child or children shall take and receive the share which his, her, or their parent would have received had such parent lived to attain the age of 30 years."" At the date of writing his will, Green was married to Susan, and they had two children, Allan and Beth. Susan died in 1980 and Hubert married Waverly in 1982. At his death in 1990 , Green was survived by his wife, Waverly, and three children, Allan, Beth, and Carter. Carter, who was born in 1984, was his child by Waverly. In a jurisdiction that recognizes the common law Rule Against Perpetuities unmodified by statute, the result of the application of the Rule is that the:",Remainder to the children and to the grandchildren is void because Green could have subsequently married a person who was unborn at the time Green executed his will.,"Remainder to the children is valid, but the substitutionary gift to the grandchildren is void because Green could have subsequently married a person who was unborn at the time Green executed his will.","Gift in remainder to Allan and Beth or their children is valid, but the gift to Carter or his children is void.",Remainder to the children and the substitutionary gift to the grandchildren are valid.,D
"In the wake of revelations regarding safety hazards and toxic emissions from plants processing radioactive materials, a bill was introduced into the legislature of State Green barring the processing of plutonium, a radioactive artificial element, in State Green. After extensive public hearings it was clear that the bill had strong support in both houses of the state legislature and that, if called to a vote, the bill would pass easily. Governor Luddite had also made a major speech announcing that he would sign such a bill. However, a few members of the legislature raised questions as to the bill's constitutionality. The constitution of State Green provides that the state supreme court may hand down declaratory judgments, and the question of the bill's constitutionality was brought before the state supreme court. The court ruled that the bill, in the form it was introduced into the legislature, is constitutional. There is only one plutonium processing plant in State Green. It is owned and operated by Master Minerals Corporation. The plant operates under contract with the federal government and is highly profitable for Master Minerals. Master Minerals seeks to have the judgment of the state supreme court overturned, and its attorneys have filed appropriate papers to bring the case before the United States Supreme Court. The Court should:","Not hear the matter, because no case or controversy exists.",Review the state court's opinion and reverse it.,Review the state court's opinion and affirm it.,"Not review the state court's opinion, because it is based on an independent state ground. ",A
"Mary's doctor informed her that she had a rare blood disease that was almost always fatal. He further informed her that there was no treatment known to medical science for this disease. Out of desperation, Mary consulted Quack, who claimed to have a cure for the blood disease. Mary entered into an agreement with Quack under which Quack promised to treat Mary for the blood disease. However, no price was given for the treatment. After two months of treatment, Mary did not appear to have improved at all. Mary's father, Stu, went to see Quack and told Quack that if Quack would cure Mary of the blood disease, Stu would pay Quack $ 25,000$. Four months later, after weekly sessions with Quack, Mary again went to see her doctor. This time her doctor told her that she appeared to have recovered completely from the blood disease, because all tests for the disease proved negative; and that, in his opinion, she was completely cured. Assume for the purposes of this question only that Stu refuses to pay Quack the $ 25,000$. Quack brings suit against Stu. Quack will:","Recover nothing, because Stu's promise constituted no legal detriment to him.","Recover nothing, because Quack had a preexisting duty to Mary under their prior agreement.","Recover the reasonable value of his services, because they are less than $ 25,000$.","Recover $ 25,000$, because Stu was bargaining for Mary's recovery.",D
"Drew was tried for the July 21 murder of Victor. Drew called Warren to testify to an alibi. On cross-examination of Warren, the prosecutor asked, ""Weren't you on the jury that acquitted Drew of another criminal charge?""' The best reason for sustaining an objection to this question is that:",The question goes beyond the scope of direct examination.,The probative value of the answer would be substantially outweighed by its tendency to mislead.,The question is a leading question.,Prior jury service in a case involving a party renders the witness incompetent.,B
"In a suit attacking the validity of a deed executed 15 years ago, Plaintiff alleges mental incompetency of Joe, the grantor, and offers in evidence a properly authenticated affidavit of Harry, Joe's brother. The affidavit, which was executed shortly after the deed, stated that Harry had observed Joe closely over a period of weeks, that Joe had engaged in instances of unusual behavior (which were described), and that Joe's appearance had changed from one of neatness and alertness to one of disorder and absentmindedness. The judge should rule Harry's affidavit:",Inadmissible as opinion.,Inadmissible as hearsay not within any exception.,Admissible as an official document.,Admissible as an ancient document.,B
"A construction crew for the Municipal Telephone Company was sent out to install new fiberoptic cables at a downtown intersection on a vacant lot where an old building that had been demolished had stood. The telephone workers had to dig out the old copper cables, install new sheathing, and then connect and insert the new cables. Because they ran into some portions of the old sidewalk that had been in front of the old building and that had been buried over the years, the excavating took much longer than planned, and by the end of the day they had just finished removing the old copper cables. The foreman of the crew put up a couple of wooden barriers around the trench, which was about 12 feet deep, 6 feet wide, and 30 feet long, and posted signs on each of the barriers reading, ""Open trench, do not approach."" Marcus and a few friends had been playing basketball after they got out of their seventh grade classes and passed by the excavation on their way home. Marcus could not quite make out what the signs on the barriers said in the deepening dusk, so he walked over to the nearest one and read it. His friends, who had continued walking, called for him to hurry along, and as he ran toward where they had moved ahead on the street, the soft edge of the excavation gave way and Marcus fell into the trench, severely injuring himself. If Marcus's mother brings an action against the telephone company, what will be the probable outcome of her litigation? Assume that the jurisdiction follows traditional contributory negligence and assumption of risk rules.","She will lose, because the construction foreman posted a warning notice that Marcus read and understood.","She will lose, because Marcus assumed the risk of injury when, after reading the warning notice, he carelessly ran along the trench after his friends.","She will win, if the trier of fact concludes that the construction crew was negligent in leaving the open trench without additional protection for passersby.","She will win, because the telephone company is strictly liable for the injuries to Marcus.",C
