"Bruno is on trial in federal court, charged with having sold cocaine to an undercover agent. Bruno calls Flossie to the stand, and Flossie testifies that she was with Bruno in another state on the date of the alleged drug sale. Following Flossie's testimony, the prosecution seeks to introduce the record of judgment of Flossie's seven-year-old embezzlement conviction. Bruno's attorney objects. The court should rule the record of judgment:","Admissible, as going to Flossie's credibility.","Admissible, provided no appeal is pending.","Inadmissible, because the record is inadmissible hearsay.","Inadmissible, because, for impeachment, a specific act of misconduct cannot be shown by extrinsic evidence.",A
In which of the following situations is the named defendant most likely to suffer a criminal conviction that would be upheld on appeal?,"Byron, who admits to an undercover operative that he regularly snorted Jack Daniels whiskey until last Christmas, is prosecuted under a law effective January 1 of this year that makes it a felony for anyone to snort any alcoholic beverage.","Chadwick, when asked by an off-duty police officer to sell two Super Bowl tickets for five times their face value, loudly proclaims, ""I couldn't do that, stranger, because scalping is a felony in this state!"" Chadwick, who is unaware that the buyer is a police officer, then whispers to the buyer, ""But if you make it six times face value, you've got a deal, buddy."" Also unknown to Chadwick, effective the previous week, it is no longer a criminal offense in that state to scalp tickets to sports events. Chadwick is prosecuted for attempted scalping.","State law makes it a misdemeanor to place water in a container that has held chlorine bleach. Duncan, whose car has overheated in the desert, walks several miles to a deserted gas station that has running water and fills an old chlorine bleach container with water to carry back to his car. On the way back, he is picked up by the highway patrol who notice the bleach container and ask what is inside. When Duncan answers, ""Water,"" he is arrested for violation of the misdemeanor statute.","Ed, sitting at a bar whose bartender is an undercover police officer, says to the officer, ""God, I'd like to kill my wife. If there was any way I thought I could do it and not get caught, I'd blow her away in a second."" Ed is prosecuted for violating a statute that proscribes intent to murder.",C
In which of the following situations is Defendant most likely to be not guilty of the charge made?,"Believing that state law made it a crime to purchase Valium without a prescription, Defendant purchased without a prescription a certain quantity of Valium. Unknown to Defendant, the state legislature had repealed the statute, and Valium could be legally purchased without a prescription. Defendant is charged with attempting to purchase Valium without a prescription.","While in the course of a fight, Defendant, intending to kill Stan, ran up and stabbed Stan from behind. Unknown to Defendant, Stan had been stabbed through the chest only seconds before by another participant in the fight, killing him instantly. Defendant is charged with attempted murder.",Defendant misrepresented his identity to a garage in order to take possession of an automobile that had been left with the garage for repairs earlier that week. The owner of the garage was not deceived and refused to turn over possession. Defendant is charged with attempting to obtain property by false pretenses.,"Police arrested Robber as he was leaving a house where he had stolen a good deal of property. As part of a plea-bargain arrangement, Robber took the property to Defendant and offered to sell it. Defendant, believing the property to be stolen, purchased it. Defendant is charged with attempting to receive stolen property. ",A
"Purvis purchased a used car from Daley, a used-car dealer. Knowing them to be false, Daley made the following statements to Purvis prior to the sale: Statement 1. This car has never been involved in an accident. Statement 2. This car gets 25 miles to the gallon on the open highway. Statement 3. This is as smooth-riding a car as you can get. If Purvis asserts a claim against Daley based on deceit, which of the false statements made by Daley would support Purvis's claim?",Statement 1. only.,Statement 2. only.,Statements 1. and 2. only.,Statements 2. and 3. only.,C
Woody is on trial for embezzlement. He does not take the stand. Which of Woody's previous convictions is most likely to be admitted into evidence against him?,"A 7-year-old conviction for arson, a felony.","A 12-year-old conviction for embezzlement, a felony.","A 6-month-old conviction for disorderly conduct, a misdemeanor.",A 2-year-old conviction for felonious sexual assault.,B
"The state of Plains was the headquarters of Bushel Basket Ministries, which had been characterized by the government as a ""religious cult."" Seeking to broaden his influence, the leader of Bushel Basket, Reverend Bill E. Bob, decided that the state legislature would serve as an effective pulpit for his religious views by giving him a great deal of media exposure and direct mail resources. The state of Plains had no provision barring members of the clergy from serving as legislators. Bob entered a race that already had several other candidates and took advantage of the state's liberal voter registration laws by having many of his followers move into the district a month before the election. Bob's subsequent victory in the race shocked the political establishment and prompted a citizens' group to file a lawsuit in federal district court. The suit, invoking the Establishment Clause, sought to enjoin the state from seating Bob in the legislature or expending any state funds to provide him with legislative privileges. Bob moved to dismiss the lawsuit. Should the court grant Bob's motion?","Yes, because the Eleventh Amendment bars this type of action against a state by its citizens.","Yes, because a political question is involved.","No, because citizens have standing to challenge government expenditures that may violate the Establishment Clause.","No, because the lawsuit is not seeking damages from the state. ",A
"Cheryl is on trial for fraud, it having been alleged that she participated in an illegal scheme in which her victims were invited to become local distributors for a supposed cosmetics manufacturer. The victims were given bonus payments, after they had made a large initial ""investment,"" for additional distributors who they would bring to the manufacturer. Cheryl's defense is that she knew nothing of the scheme. She claims she was brought into the scheme by the purported head of the manufacturer's sales department and was just following instructions to bring additional distributors into the sales force. The prosecution calls Zeke as a witness. Zeke is a former business associate of Cheryl's, and he testifies that her reputation in the community is for frequently participating in very questionable transactions, usually resulting in heavy losses for her investors. He testifies further that he thinks she is dishonest. Should the trial court admit this evidence over Cheryl's objection?","No, because the prosecution cannot initiate evidence of the accused's character.","No, because use of Zeke's opinion is improper.","Yes, because it is evidence of Cheryl's character for dishonesty.","Yes, because it is evidence of habit. ",A
"The jurisdiction in which Dawn lives follows the common law Rule Against Perpetuities. If Dawn conveys her property to ""Clara, her heirs and assigns, as long as the premises are used for noncommercial purposes, then to Grant, his heirs and assigns,"" Dawn's interest in the property, if any, is:",Nothing.,A reversion in fee simple absolute.,A possibility of reverter.,A right of entry based on a condition subsequent.,C
"Harold and Wanda, once married to each other, had gone through a bitter divorce. The divorce decree awarded custody of the couple's four-year-old son Jake to Wanda, with Harold receiving visitation rights. On the first opportunity that Harold had to take Jake for the weekend, Harold disappeared with Jake. Wanda was greatly distressed and called Harold's parents, Grandmaw and Grandpaw, on a weekly basis, always asking if they knew anything about the whereabouts of Harold and Jake. Grandmaw and Grandpaw knew quite well where Harold and Jake were, and they often sent money to help support Harold while he was on the run. However, they always insisted that they knew nothing about the child. Four years after Jake was abducted, the police arrested Harold and returned Jake to his mother. Wanda files an action against Grandmaw and Grandpaw alleging infliction of emotional distress. Will Wanda prevail?","Yes, because Grandmaw and Grandpaw acted in deliberate disregard of a high probability that their actions would cause Wanda to suffer emotional distress.","Yes, but only if Grandmaw and Grandpaw actually knew that their actions would cause Wanda to suffer emotional distress.","No, unless Wanda can prove that she suffered physical harm.","No, because Wanda never was in a zone of danger.",A
"Tekmart, a leading computer supply retailer, contacted Megabyte, a manufacturer of blank diskettes, on October 25 to supplement the supply of diskettes at Tekmart's area stores. In response, Megabyte offered to supply 50 cartons of boxed diskettes at $ 200$ a carton, for a total price of $ 10,000$, delivery one week after acceptance, and sent a letter containing those contractual terms to Tekmart on October 26 . The president of Tekmart signed the letter on October 27 without making any changes to it and sent it back to Megabyte by first class mail. The next day, having not heard from Tekmart, Megabyte's sales manager contacted the president of Tekmart and informed him that, if Tekmart accepted by the end of the month, it would receive a $1 \%$ discount in the total price. When Tekmart's president responded that he had already sent the acceptance, the sales manager assured him that the discount would still apply. On October 31, Tekmart received a circular from Dataco offering comparable diskettes for $5 \%$ less than Megabyte's price. The president of Tekmart immediately faxed a rejection to Megabyte. Megabyte received the rejection immediately but took no action on it. The next day, November 1, Megabyte received the signed contract from Tekmart. What is the status of the agreement between the parties?","An enforceable contract was formed for $ 9,900$ because Tekmart accepted before October 31 and needed no additional consideration for the oral modification.","An enforceable contract was formed for $ 10,000$ because the parol evidence rule precludes Tekmart from offering evidence of the telephone conversation.","An enforceable contract was formed for $ 10,000$ because, even though Tekmart accepted before October 31 , the Statute of Frauds makes the oral modification between the parties unenforceable.",An enforceable contract was not formed between the parties because Tekmart's rejection was received before its acceptance. ,C
"On January 15, Carpenter agreed to repair Householder's house according to certain specifications and to have the work completed by April 1. On March 1, Householder's property was inundated by flood waters which did not abate until March 15. Householder could not get the house in a condition which would permit Carpenter to begin the repairs until March 31 . On that date Carpenter notified Householder that he would not repair the house. Which one of the following facts, if it was the only one true and known to both parties on January 15, would best serve Carpenter as the basis for a defense in an action brought against him by Householder for breach of contract?",Carpenter's busy schedule permitted him to work on Householder's house only during the month of March.,Any delay in making the repairs would not seriously affect Householder's use of the property.,The cost of making repairs was increasing at the rate of $3 \%$ a month.,The area around Householder's property was frequently flooded during the month of March.,A
