"Developer owned a large tract of land that she had surveyed by a licensed surveyor and then subdivided into numerous lots. At the time of the survey, the surveyor drove wooden stakes into the ground to mark the boundaries. The surveyor then made a plat of the survey and recorded the plat in the County Recorder of Deeds Office. On June 1, Andrew purchased Lot 20 in the tract from Developer. Prior to purchase, Developer had shown Andrew the wooden stakes, and Andrew accepted such stakes as marking the boundaries of Lot 20 . After taking possession of Lot 20 , Andrew built a house thereon and enclosed it with a fence. On September 5, Bruce purchased Lot 21 from Developer. Lot 21 was adjacent to Lot 20. After taking possession of Lot 21, Bruce hired a licensed surveyor to survey Lot 21 . This surveyor discovered that, according to the recorded plat, Andrew's fence extended two feet onto Lot 21. Upon learning this, Bruce demanded that Andrew remove his fence. Andrew refused. If Bruce sues Andrew, who will prevail?","Andrew, because he bought his lot first.","Andrew, because the surveyor's stakes are controlling.","Bruce, because the recorded plat controls.","Bruce, because the adverse possession period has not run.",B
"Driver knew that children frequently played in the street along Elm Street. As Driver was operating his vehicle along Elm Street, he saw a ball roll into the street. A few seconds later, Child darted out into the street after the ball. Pedestrian, a passerby, saw Driver's vehicle bearing down on Child. Concerned that Child would be hurt, Pedestrian rushed into the street to try to save Child. Just as Pedestrian reached Child, Pedestrian tripped and fell down in the street. Driver's car struck both Pedestrian and Child, and both were injured. The jurisdiction follows traditional contributory negligence rules. 143. Assuming that Child is four years old, will Child prevail in a personal injury suit against Driver? (A) Yes, because Driver knew that children played in Elm Street. (B) Yes, unless Driver was going no faster than the posted speed limit. (C) No, because Child negligently darted into the street. (D) No, because Child's parents were negligent in not properly supervising Child. On December 1, Diane died without children and without a will. The applicable law of intestate succession provides that George is Diane's only heir. Sam claims that George has no interest in the land. Title to the avocado ranch is held by whom?","George, because of the doctrine of merger.","George, because Diane died intestate and her fee simple passed to him as her intestate heir.","Sam, because the interest granted to Diane's spouse is void under the Rule Against Perpetuities.","Sam, because Diane, although survived by her spouse, died without children.",D
"An ordinance of City makes it unlawful to park a motor vehicle on a City street within 10 feet of a fire hydrant. At 1:55 p.m., Parker, realizing he must be in Bank before it closed at 2 p.m. and finding no other space available, parked his automobile in front of a fire hydrant on a City street. Parker then hurried into the bank, leaving his aged neighbor, Ned, as a passenger in the rear seat of the car. About five minutes later, and while Parker was still in Bank, Driver was driving down the street. Driver swerved to avoid what he mistakenly thought was a hole in the street and sideswiped Parker's car. Parker's car was turned over on top of the hydrant, breaking the hydrant and causing a small flood of water. Parker's car was severely damaged and Ned was badly injured. There is no applicable guest statute and the jurisdiction follows traditional contributory negligence rules. If Ned asserts a claim against Parker, the most likely result is that Ned will:","Recover, because Parker's action was negligence per se.","Recover, because Parker's action was a continuing wrong that contributed to Ned's injuries.","Not recover, because a reasonably prudent person could not foresee injury to Ned as a result of Parker's action.","Not recover, because a violation of a city ordinance does not give rise to a civil cause of action.",C
"Jesse was a member of an extreme right-wing, paramilitary organization. While out drinking with several fellow members one evening, Jesse got into an argument with a soldier from the nearby Army base and was bested in a brief exchange of punches. Feeling humiliated, he went to a different bar and drank a considerable amount of liquor. Vowing revenge on the soldier who had beaten him, Jesse and his friends drove out to the Army base. Using infiltration tactics practiced on weekends, they surreptitiously approached what they believed to be the barracks where the soldier slept. As Jesse was climbing through the window he had jimmied, a military police officer happened by and challenged him. In a tussle with the MP, Jessie struck the MP with his own baton, killing him. Still extremely intoxicated, Jesse abandoned the idea of finding and severely beating the soldier, and staggered to a nearby armored vehicle park. Since he was a heavy equipment operator, Jesse was familiar with the operation of such vehicles, and soon was driving an armored personnel carrier through the streets of the base and then out into the city. A curious police officer followed the armored vehicle for a few blocks, then pulled alongside in an attempt to determine whether it was on official Army business. At that moment, Jesse swerved the armored personnel carrier to the left, crushing the police car as it ground to a halt. The police officer inside was killed. The jurisdiction's statutes define murder as ""the premeditated and intentional killing of another or the killing of another in the commission of robbery, rape, burglary, or arson."" Manslaughter is defined as ""the killing of a human being in a criminally reckless manner."" Criminal recklessness is ""consciously disregarding a substantial and unjustifiable risk resulting from the actor's conduct."" The statutory definition of burglary is identical to the common law except that the prohibited conduct need not occur in the nighttime. The jurisdiction's statutes provide that intoxication is not a defense to a crime unless it negates an element of the offense. Jesse is charged with the murder of the military police officer. At his trial on this charge, the court should instruct the jury on the issue of the defense of intoxication that:",Voluntary intoxication is a defense to the crime of murder if Jesse would not have killed the MP but for the intoxication.,Jesse is guilty of murder despite his intoxication only if the prosecution proves by clear and convincing evidence that Jesse acted with premeditation and intentionally.,Voluntary intoxication is no defense to the crime of murder.,"Intoxication is a defense to the crime of burglary if it prevented Jesse from forming the intent to commit a crime inside the barracks, in which case he could only be convicted of murder upon the requisite showing of intentional action and premeditation.",D
"Howard was supposed to be out of town on a three-day business trip. Because he completed his business more quickly than expected, he flew home on Wednesday night instead of Thursday afternoon. Howard arrived home and let himself into the house. He heard noises from the bedroom and, upon investigation, Howard was shocked to find his wife, Chastity, in bed with Nick, a good friend of Howard, who lived four blocks away. Nick dressed quickly and took off out the back door. Howard screamed a number of epithets at Chastity and then told her, ""Nick's going to pay for this! Get me a drink! It will give me the steadiness to do what I have to do to avenge my honor."" A frightened Chastity brought Howard a bourbon and water. Howard drank it quickly and demanded yet another drink. After consuming several more drinks, Howard unlocked the closet, pulled out a rifle, and loaded it. He then set off for Nick's house. Howard arrived at Nick's about 10 minutes later. Nick had neglected to lock his front door, so Howard walked in. He found a trembling Nick in the living room, and Howard pointed the gun at him. Nick immediately began apologizing, blaming the affair on Chastity, and pleading for his life. Howard stood silently listening to Nick, but he kept the gun trained on his erstwhile friend. Suddenly, Nick pulled a switchblade knife from his pocket. As the metal flashed, Howard fired a single shot at Nick. The bullet struck him in the middle of the forehead and Nick died instantly. Howard set the gun down, fell to his knees, and began crying. A neighbor who heard the shot reported it to the police. They arrived a few minutes later and found a distraught Howard muttering about losing a friend and a marriage in one night. Howard can be convicted of:",Murder.,"Manslaughter, because Howard was still distraught over finding Nick in bed with Chastity.","Manslaughter, because his intoxication prevented Howard from having the requisite intent for murder.","No homicide crime, because Nick was about to attack him with a knife. ",A
"State Green had a law on its statute books that made any teacher, guardian, therapist, school administrator, or any other person standing in loco parentis subject to the same rights and duties as actual parents. In effect this meant that persons standing in loco parentis could be charged with liability in cases where a parent would have been liable and granted immunity from liability where such would have been the case for a parent. Dr. Zarkov had a Ph.D. in child psychology and was the director of the Verdant Institute, a residential home for disturbed minors located in Verdant City, the largest city in State Green. The Verdant Institute had no fence surrounding its premises, but regular bedchecks were conducted each night to determine that all of the disturbed children were present. A bedcheck determined that Ming, a 12-year-old resident of the Institute, was absent. In fact, Ming had climbed out a window and run away about 15 minutes before the bedcheck. The security guard who conducted the bedcheck immediately reported to Zarkov that Ming was missing. Zarkov did not report Ming's absence to the police or any other authority. Thirty-six hours after Ming ran away from the Institute, Ming savagely beat and severely injured six-year-old Gordon, a child who lived a few blocks away from the Verdant Institute. Although Gordon recovered, physicians indicated that the beating might well cause Gordon to suffer permanent hearing and vision deficiencies. Gordon's parents filed suit against Zarkov on Gordon's behalf. Which party is likely to prevail in the lawsuit?","Gordon, unless a 12-year-old would not be liable for administering the beating.","Gordon, because Zarkov assumed the role of a parent and liability is, therefore, imposed under the in loco parentis statute.","Zarkov, because he cannot be found vicariously liable for Ming's acts inasmuch as parents are not vicariously liable for the intentional torts of their children.","Zarkov, unless Zarkov had reason to know that Ming had a propensity to commit violent acts. ",D
"While it was parked on a side street, Driver's car was severely damaged by a hit-and-run accident. While the car was being repaired, Driver arranged to borrow a car from his friend, Lender, to drive until Driver's car was finished. Lender had an extra car that had not been driven for some time, which he gladly allowed Driver to use. However, when Driver picked up the car, Lender forgot to warn Driver that the brake fluid had a tendency to leak out of the brake system and needed to be replaced regularly. Lender telephoned Driver's wife, Rider, and warned her about the brake fluid problem. Rider, however, forgot to tell Driver. Shortly thereafter, Driver was driving Rider to work in the borrowed car. Driver was proceeding along at a reasonable rate of speed and within the posted speed limit. As he approached an intersection, another car, driven by Reckless, ran through the red light and into the intersection. Driver, upon seeing Reckless's car, stepped on the brakes, but the brakes failed and the two cars collided. If the proper amount of brake fluid had been in the brake system, Driver could have stopped in time to avoid the collision. Driver and Rider were injured. The jurisdiction has adopted ""pure"" comparative negligence. If Driver asserts a claim against Reckless, Driver will:","Recover only a portion of his damages, because Rider was also at fault. ","Recover the full amount of his damages, because Driver himself was not at fault.","Not recover, because Driver had the last clear chance to avoid the accident.","Not recover, because Rider was negligent in not telling Driver about the defective brake condition, and Rider's negligence would be imputed to driver.",B
"Linda was 15 years old, but she appeared and acted older. When asked, she always said she was 22 , and she carried false identification saying she was that old. She frequented taverns and drank heavily. One evening in a bar she became acquainted with Duke. He believed her when she told him her claimed age. They had several drinks and became inebriated. Later, they drove in Duke's car to a secluded spot. After they had necked for a while, Duke propositioned Linda and she consented. Before Duke achieved penetration, Linda changed her mind, saying, ""Stop! Don't touch me! I don't want to do it."" When Duke did not desist, Linda started to cry and said, ""I am only 15."" Duke immediately jumped from the car and ran away. Duke was indicted for attempted rape, assault with intent to rape, contributing to the delinquency of a minor, and attempted statutory rape. The age of consent in the jurisdiction is 16 . With respect to the contributing charge under the statute set out in the question above, proof by Duke that he was so inebriated that he could not have formed a criminal intent would be a:","Good defense, because the charge requires a specific intent.","Good defense, because at least a general criminal intent is required for every offense.","Poor defense, because contributing to the delinquency of a minor is an offense against a child.","Poor defense, because the state of mind of the defendant is irrelevant to this offense, so long as he was legally sane.",D
"Stone operated a newsstand on leased space in an office building. On March 15, Quinn purchased the office building and told Stone that he wanted to negotiate a new lease. During the negotiations, Stone and Quinn orally agreed that Stone would have the exclusive right to sell newspapers and magazines in the office building. Quinn prepared a written lease outlining the Stone-Quinn agreement, but forgot to include the agreement that Stone would have exclusive rights in the office building. Stone was given a copy of the lease to read, but Stone merely glanced over the lease because he assumed it reflected his agreement with Quinn. Stone then signed the lease, which included a merger and integration clause. On March 30, Quinn leased space to Jacobs for the establishment of a drug store to be run by Jacobs. The Quinn-Jacobs lease did not prevent Jacobs from selling newspapers or magazines. As a result of the competition, Stone lost substantial profits in his business. Assume for purposes of this question only that Stone's prior lease had given him the exclusive right to sell newspapers and magazines in the office building. Assume further that Stone told Quinn that he wanted the new lease to be the same as the old lease, and that Quinn had handed the new lease to Stone and represented it to be the same as the old lease, knowing that this was not true. Stone signed the lease without reading it because Quinn told him that there was no reason to read the new lease. If Stone sues Quinn, Stone could obtain:",Rescission.,Reformation. ,Novation.,Repudiation.,A
"A state penal statute makes it a misdemeanor to ""willfully shut off the gas, electricity, or any other form of power for cooking, heating, or illumination to an inhabited dwelling"" unless strictly outlined procedures for notice and hearing are met. Shelley owned several small, single-family residences in City, which she rented to various student groups and families. One such rental, a small, furnished two-bedroom house located in one of the poorer sections of City, had been rented to a young married couple for several months when Shelley failed to receive the monthly rent check. She drove by the house several times for two weeks and received no answer to her knocks. Neighbors told her that they had not seen the couple for at least three weeks. Finally, Shelley used her keys to enter the house. She discovered that the old set of dishware and utensils she had permitted the couple to use was still in the kitchen, but that there was no food in the house and all but a few old items of clothing had been removed from the closets. Concluding that the couple had abandoned the rental without paying the last month's rent, Shelley called the power company and had the electricity and gas shut off until she could find another tenant. A week later, the couple returned from an extended visit to the young wife's sick mother in Mexico. When they found that their power had been turned off, they reported this to the authorities and Shelley was prosecuted under the misdemeanor statute. At trial, it was established that the couple had inadvertently failed to place the proper postage on the rent check, which they had mailed from Mexico, and it had eventually been returned by Mexican postal authorities to the wife's mother's residence. Shelley will probably be:","Convicted, because the charged crime is violation of a public safety statute, and she is strictly liable for her action in turning off the power.","Convicted, because she did not undertake a more thorough inquiry or wait a more reasonable length of time before concluding that the house had been abandoned.","Acquitted, if the trier of fact concludes that Shelley was reasonable in believing that the house had been abandoned.","Acquitted, if the trier of fact concludes that the young couple was negligent in not placing proper postage on the rent check mailed from Mexico.",C
