"Dray was prosecuted for bank robbery. At trial, the bank teller, Wall, was unable to identify Dray, now bearded, as the bank robber. The prosecutor then showed Wall a group of photographs, and Wall testified that she had previously told the prosecutor that the middle picture (concededly a picture of Dray before he grew a beard) was a picture of the bank robber. Wall's testimony is:","Inadmissible, because it is hearsay not within any exception.","Inadmissible, because it is a violation of Dray's right of confrontation.",Admissible as prior identification by the witness.,Admissible as past recollection recorded.,C
"On October 1, Toy Store, Inc., entered into a written contract with Fido Factory, Inc., for the purchase at $ 20$ per unit of 1,000 mechanical dogs, to be specially manufactured by Fido according to Toy Store's specifications. Fido promised to deliver all of the dogs ""not later than November 15, for the Yule shopping season,""' and Toy Store promised to pay the full $ 20,000$ price upon delivery. In order to obtain operating funds, Fido as borrower entered into a written loan agreement on October 5 with the High Finance Company. In relevant part, this agreement recited, ""Fido Factory hereby transfers and assigns to High Finance its (Fido Factory's) October 1 mechanical dog contract with Toy Store, as security for a 50 -day loan of $ 15,000$, the advance and receipt of which are hereby acknowledged by Fido Factory. ..."" No copy of this agreement, or statement relating to it, was filed in an office of public record. On October 15, Fido notified Toy Store, ""We regret to advise that our master shaft burned out last night because our night supervisor let the lubricant level get too low. We have just fired the supervisor, but the shaft cannot be repaired or replaced until about January 1. We can guarantee delivery of your order, however, not later than January 20."" Toy Store rejected this proposal as unacceptable and immediately contracted with the only other available manufacturer to obtain the 1,000 dogs at $ 30$ per unit by November 15 . For this question only, assume that on November 1, Toy Store sues Fido for damages and alleges the above facts, except those relating to the Fido-High Finance loan agreement. Upon Fido's motion to dismiss the complaint, the court should:","Sustain the motion, because Fido on October 15 stated its willingness, and gave assurance of its ability, to perform the contract in January.","Sustain the motion, because Toy Store's lawsuit is premature in any case until after November 15.","Deny the motion, because Toy Store's complaint alleges an actionable tort by Fido.","Deny the motion, because Toy Store's complaint alleges an actionable breach of contract by Fido.",D
"Rider, a bus passenger, sued Transit Company for injuries to his back from an accident caused by Transit's negligence. Transit denies that Rider received any injury in the accident. Transit Company calls Observer to testify that right after the accident, Rider told him that he had recently suffered a recurrence of an old back injury. The judge should rule Observer's testimony:",Admissible as an admission of a partyopponent.,Admissible as a spontaneous declaration.,"Inadmissible, because it is irrelevant.","Inadmissible, because it is hearsay not within any exception.",A
"Pack sued Donlon for slander, alleging that Donlon had publicly accused Pack of being a thief. In his answer, Donlon admitted making the accusation, but alleged that it was a true statement. At trial, Donlon offers evidence that Pack stole a ring worth $ 10,000$ from a jewelry store. Evidence concerning this theft should be:","Admitted, because specific instances of conduct may be proved when character is directly in issue.","Admitted, because Pack's actions constituted a felony.","Excluded, because character must be shown by reputation or opinion.","Excluded, because its relevance is substantially outweighed by the danger of unfair prejudice.",A
"A federal statute requires United States civil service employees to retire at age 75 . However, that statute also states that civil service employees of the armed forces must retire at age 65 . Prentis, a 65-year-old civil service employee of the Department of the Army, seeks a declaratory judgment that would forbid his mandatory retirement until age 75 . The strongest argument that Prentis can make to invalidate the requirement that he retire at age 65 is that the law: ",Denies him a privilege or immunity of national citizenship.,Deprives him of a property right without just compensation.,"Is not within the scope of any of the enumerated powers of Congress in Article I, Section 8.",Invidiously discriminates against him on the basis of age in violation of the Fifth Amendment.,D
"As Sandra, a newspaper reporter, was walking to her home, she saw undercover officer Cole chasing Tim. Cole yelled, ""Don't let him get away. I'm a police officer and he's just mugged a man!"" Sandra immediately put out her leg and tripped Tim. When Tim fell, he broke his glasses and badly gashed his cheek. If Sandra was sued by Tim for battery, she would have:",No valid defense unless she had other reasons to believe Cole was a police officer besides his statement.,A valid defense if Sandra believed that Cole had grounds to arrest Tim.,A valid defense if she actually witnessed the crime.,No valid defense if a felony had not in fact been committed.,B
"Owen owned Copperacre, a large tract of mineral-rich land in a sparsely populated area. He entered into a lease with Yukon, a prospector who was interested in developing the land for mining. The term of the lease was two years and gave Yukon an option to buy the property at any time after the first year. Yukon did not record the lease. Six months later, Yukon left Copperacre for a period of time to prospect in Mexico, leaving no goods on the land that would identify him. Owen then conveyed Copperacre in fee simple to Darlene, who had inspected the property while Yukon was in Mexico and was unaware of the prior transaction. Darlene did not immediately record her deed. After three months in Mexico, Yukon returned to Copperacre and encountered Darlene. A statute in the jurisdiction provides, in part: No conveyance or mortgage of an interest in land, other than a lease for less than one year, is valid against any subsequent purchaser for value without notice thereof whose conveyance is first recorded. If Darlene brings an action to quiet title to Copperacre, how should the court rule?",Darlene takes title subject to Yukon's leasehold interest and his option to purchase because Yukon acquired his interest first.,Darlene takes title subject to Yukon's leasehold interest but not his option to purchase because he does not yet have the power to exercise the option. ,"Darlene takes title subject to Yukon's leasehold interest and option to purchase regardless of whether she now records, because she will have had notice of Yukon's interest before recording.",Darlene takes title free of Yukon's leasehold interest and option because Yukon failed to record before Darlene purchased the property without notice of his interest.,A
"Tyrone challenged Dennison to an automobile race from Smalltown to Littleburg, a distance of 11 miles. The only road that ran between the two cities was Highway 17, a two-lane country road. At the 7-mile mark, Tyrone attempted to pass Dennison by pulling into the lane to the left of the center line. At that moment, Pryor's car came into view, heading directly at Tyrone's vehicle. Tyrone applied his brakes and attempted to pull back into the lane to the right of the center line. In so doing, Tyrone lost control of his vehicle and collided with Pryor's car. Dennison's car, having already passed Pryor's car, was not involved in the collision. Pryor brings suit against Dennison for damages suffered in the collision. Which of the following would be Dennison's best course of action?","Seek dismissal of the claim, because Dennison did not cause Pryor's damage.","Seek indemnity from Tyrone, if Pryor recovers a judgment against Dennison.",Ask the court to limit his liability to onehalf of Pryor's damages.,"Seek contribution from Tyrone, if Pryor recovers a judgment against Dennison.",D
"Ogden was the fee simple owner of three adjoining vacant lots fronting on a common street in a primarily residential section of a city which had no zoning laws. The lots were identified as Lots 1, 2, and 3. Ogden conveyed Lot 1 to Akers and Lot 2 to Bell. Ogden retained Lot 3, which consisted of three acres of woodland. Bell, whose lot was between the other two, built a house on his lot. Bell's house included a large window on the side facing Lot 3 . The window provided a beautiful view from Bell's living room, thereby adding value to Bell's house. Akers erected a house on his lot. Ogden made no complaint to either Akers or Bell concerning the houses they built. After both Akers and Bell had completed their houses, the two of them agreed to and did build a common driveway running from the street to the rear of their respective lots. The driveway was built on the line between the two houses so that one-half of the way was located on each lot. Akers and Bell exchanged right-of-way deeds by which each of them conveyed to the other, his heirs and assigns, an easement to continue the right of way. Both deeds were properly recorded. After Akers and Bell had lived in their respective houses for 30 years, a new public street was built bordering on the rear of Lots 1, 2, and 3 . Akers informed Bell that, since the new street removed the need for their common driveway, he considered the right-of-way terminated; therefore, he intended to discontinue its use and expected Bell to do the same. At about the same time, Ogden began the erection of a six-story apartment house on Lot 3 . If the apartment house is completed, it will block the view from Bell's window and will substantially reduce the value of Bell's lot. In an action brought by Bell to enjoin Ogden from erecting the apartment building in such a way as to obstruct the view from Bell's living room window, the decision should be for:","Bell, because Ogden's proposed building would be an obstruction of Bell's natural right to an easement for light and air.","Bell, because Bell was misled by Ogden's failure to complain when Bell was building his house.","Ogden if, but only if, it can be shown that Ogden's intention to erect such a building was made known to Bell at or prior to the time of Ogden's conveyance to Bell.","Ogden, because Bell has no easement for light, air, or view.",D
"Simpson and two others were indicted on felony charges for electronic theft of bank accounts. Simpson protested that he was innocent and wanted to prove it at trial, but agreed to discuss a plea bargain with the district attorney. The district attorney indicated that he would also charge Simpson with additional theft by computer offenses if Simpson insisted on going to trial, but that if he pleaded guilty to the one charge and agreed to testify against his codefendants at their trial, the prosecution would recommend probation only. Because of the risk of jail time if he was convicted of any of the additional offenses, Simpson agreed. When Simpson appeared in court, the judge informed him of the nature of the charge and the potential punishment, and that Simpson was waiving his right to trial by pleading guilty. She asked if his plea was voluntary and he replied that it was the best deal that he could get, but that he was really innocent of the crime charged. The judge nevertheless accepted the plea, reserving sentencing until Simpson testified against his co-defendants. Just before trial of Simpson's co-defendants, they pleaded guilty and provided additional information of Simpson's central role in the crime and in additional computer theft offenses. At Simpson's sentencing, the prosecution introduced the testimony of Simpson's codefendants and asked the judge to impose a jail term. The judge sentenced Simpson to five years in prison for the crime to which he pleaded guilty. Simpson appeals his sentence, raising the following arguments: I. The prosecution threatened to bring additional charges when Simpson indicated that he was going to exercise his right to go to trial. II. The judge accepted Simpson's guilty plea despite his claim of innocence. III. The prosecution did not adhere to the plea bargain after Simpson's co-defendants pleaded guilty. Which of the above arguments provide a valid basis for vacating Simpson's guilty plea and sentence?",I. and III.,"I., II., and III.",II. and III.,III. only. ,D
"Light Company is the sole distributor of electrical power in City. The company owns and maintains all of the electric poles and equipment in City. Light Company has complied with the National Electrical Safety Code, which establishes minimum requirements for the installation and maintenance of power poles. The Code has been approved by the federal and state governments. Light Company has had to replace insulators on its poles repeatedly because unknown persons repeatedly shoot at and destroy them. This causes the power lines to fall to the ground. On one of these occasions, Paul, Faber's five-yearold son, wandered out of Faber's yard, intentionally touched a downed wire, and was seriously burned. If a claim on Paul's behalf is asserted against Light Company, the probable result is that Paul will:",Recover if Light Company could have taken reasonable steps to prevent the lines from falling when the insulators were destroyed.,"Recover, because a supplier of electricity is strictly liable in tort.",Not recover unless Light Company failed to exercise reasonable care to stop the destruction of the insulators.,"Not recover, because the destruction of the insulators was intentional. ",A
